,movie_title,year,place,star_cast,rating,vote,link
204,Mary and Max,2009,205,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.066201220436119,,/title/tt0978762/
205,Jaws,1975,206,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.06599965044178,,/title/tt0073195/
206,The Passion of Joan of Arc,1928,207,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.063209208985718,,/title/tt0019254/
207,Hotel Rwanda,2004,208,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.061176853969144,,/title/tt0395169/
208,Rocky,1976,209,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.05854438780155,,/title/tt0075148/
209,Dead Poets Society,1989,210,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.05732832129059,,/title/tt0097165/
210,Tokyo Story,1953,211,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.056996274651482,,/title/tt0046438/
211,Platoon,1986,212,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.055502885412023,,/title/tt0091763/
212,The Terminator,1984,213,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.05247897406209,,/title/tt0088247/
213,Ford v Ferrari,2019,214,"James Mangold (dir.), Matt Damon, Christian Bale",8.052450594454244,,/title/tt1950186/
214,Stand by Me,1986,215,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.051900697992982,,/title/tt0092005/
215,Rush,2013,216,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.049532988460117,,/title/tt1979320/
216,Into the Wild,2007,217,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.04865172802511,,/title/tt0758758/
217,The Wizard of Oz,1939,218,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.046953318053179,,/title/tt0032138/
218,Logan,2017,219,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.046417021990106,,/title/tt3315342/
219,Spotlight,2015,220,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.044971323009388,,/title/tt1895587/
220,Network,1976,221,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.043208287240253,,/title/tt0074958/
221,Groundhog Day,1993,222,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.041855949770124,,/title/tt0107048/
222,The Exorcist,1973,223,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.03845482627464,,/title/tt0070047/
223,Ratatouille,2007,224,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.038237423559991,,/title/tt0382932/
224,Hachi: A Dog's Tale,2009,225,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.035338455686482,,/title/tt1028532/
225,The Incredibles,2004,226,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.034787451058415,,/title/tt0317705/
226,Dersu Uzala,1975,227,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.03456009758358,,/title/tt0071411/
227,The Best Years of Our Lives,1946,228,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.033261469118914,,/title/tt0036868/
228,Before Sunset,2004,229,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.032695614229093,,/title/tt0381681/
229,Rebecca,1940,230,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.030801804542165,,/title/tt0032976/
230,Dune,2021,231,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",8.030524633674814,,/title/tt1160419/
231,The Grapes of Wrath,1940,232,"John Ford (dir.), Henry Fonda, Jane Darwell",8.029577379608126,,/title/tt0032551/
232,My Father and My Son,2005,233,"Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor",8.029410575587438,,/title/tt0476735/
233,Cool Hand Luke,1967,234,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.028992560159631,,/title/tt0061512/
234,To Be or Not to Be,1942,235,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.02820785442815,,/title/tt0035446/
235,Amores perros,2000,236,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.027411103681585,,/title/tt0245712/
236,The Battle of Algiers,1966,237,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.027339756371324,,/title/tt0058946/
237,Pirates of the Caribbean: The Curse of the Black Pearl,2003,238,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.027305352183026,,/title/tt0325980/
238,The Sound of Music,1965,239,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.023169225425299,,/title/tt0059742/
239,Life of Brian,1979,240,"Terry Jones (dir.), Graham Chapman, John Cleese",8.02233728434015,,/title/tt0079470/
240,The 400 Blows,1959,241,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.021968857072544,,/title/tt0053198/
241,Persona,1966,242,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.02145838205789,,/title/tt0060827/
242,It Happened One Night,1934,243,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.020374304776293,,/title/tt0025316/
243,La Haine,1995,244,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.01951315673457,,/title/tt0113247/
244,Aladdin,1992,245,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.018568393893268,,/title/tt0103639/
245,Beauty and the Beast,1991,246,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.01722661399754,,/title/tt0101414/
246,Gandhi,1982,247,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.015658978643538,,/title/tt0083987/
247,Jai Bhim,2021,248,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.015501936499227,,/title/tt15097216/
248,The Help,2011,249,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.01469404304205,,/title/tt1454029/
249,The Handmaiden,2016,250,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.012679610736749,,/title/tt4016934/
