,movie_title,year,place,star_cast,rating,vote,link
49,Alien,1979,50,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.443578545909903,,/title/tt0078748/
50,Rear Window,1954,51,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.443363489494889,,/title/tt0047396/
51,City Lights,1931,52,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.44131004441637,,/title/tt0021749/
52,Memento,2000,53,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.435631389484277,,/title/tt0209144/
53,Apocalypse Now,1979,54,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.432245871822017,,/title/tt0078788/
54,Cinema Paradiso,1988,55,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.431297197047906,,/title/tt0095765/
55,Indiana Jones and the Raiders of the Lost Ark,1981,56,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.421531151330354,,/title/tt0082971/
56,Django Unchained,2012,57,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.410825161482984,,/title/tt1853728/
57,WALL·E,2008,58,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.40170284871754,,/title/tt0910970/
58,The Lives of Others,2006,59,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.3918941036158,,/title/tt0405094/
59,Sunset Blvd,1950,60,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.388693372522923,,/title/tt0043014/
60,The Shining,1980,61,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.376979490667072,,/title/tt0081505/
61,Paths of Glory,1957,62,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.375741059192375,,/title/tt0050825/
62,The Great Dictator,1940,63,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.373239082404375,,/title/tt0032553/
63,Avengers: Infinity War,2018,64,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.365438568473698,,/title/tt4154756/
64,Witness for the Prosecution,1957,65,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.358162623813456,,/title/tt0051201/
65,Aliens,1986,66,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.353980716595913,,/title/tt0090605/
66,American Beauty,1999,67,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.34798910482337,,/title/tt0169547/
67,The Dark Knight Rises,2012,68,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.345853309600344,,/title/tt1345836/
68,The Batman,2022,69,"Matt Reeves (dir.), Robert Pattinson, Zoë Kravitz",8.34351269552149,,/title/tt1877830/
69,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,70,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.340954451756433,,/title/tt0057012/
